SRR_ID	Tissue	Log2TPM1
SRR10250951	Brain	1.49723935
SRR10250954	Brain	1.513279
SRR10250949	Brain	1.618552067
SRR10250957	Brain	1.66304899
SRR2006108	Brain	1.697802282
SRR10250952	Brain	1.806707625
SRR2006107	Brain	1.868691506
SRR2148926	Brain	1.890473931
ERR1815472	Brain	1.94755919
ERX1886725	Brain	2.034553103
SRR2148914	Brain	2.045675014
SRR2148924	Brain	2.06468595
SRR2148925	Brain	2.078168488
ERX1886713	Brain	2.096157932
ERX1886698	Brain	2.150544405
CNR0262789	Brain	2.17657969
ERX1886724	Brain	2.19473448
SRR5445530	Brain	2.225663936
SRR10250955	Brain	2.235132706
SRR11939286	Brain	2.419982149
SRR5445528	Brain	2.44238966
SRR11939284	Brain	2.450302538
SRR10250956	Brain	2.451297374
SRR5445529	Brain	2.615819292
SRX372022	Brain	2.646884515
SRR5445527	Brain	2.690428718
SRR2148916	Brain	2.70382851
SRR2148921	Brain	2.719202939
ERX1886711	Brain	2.744215142
SRR11939283	Brain	2.785529837
SRR2148923	Brain	2.799375816
SRR11939280	Brain	2.846030697
ERX1886719	Brain	2.907823429
SRR9126576	Brain	2.91191396
CNR0262746	Brain	2.940197766
ERX1886722	Brain	2.97716487
SRR2148922	Brain	3.010570937
ERX1886710	Brain	3.028990407
CNR0262764	Brain	3.029915569
SRR2148917	Brain	3.05744386
CNR0262755	Brain	3.200863225
SRR11939285	Brain	3.267741476
ERX1886704	Brain	3.283977909
SRR12697096	Brain	3.315958006
SRR5027060	Brain	3.325409874
SRR10764642	Brain	3.325761288
SRR9126577	Brain	3.329214749
SRR12697102	Brain	3.338376063
ERX1886714	Brain	3.365592323
ERR1815477	Brain	3.51799346
SRR10764641	Brain	3.540038308
ERX1886716	Brain	3.554788237
ERR1464203	Brain	3.568203977
SRR2148920	Brain	3.58638754
SRR5027063	Brain	3.629115976
DRR003381	Brain	3.63006025
ERX1886720	Brain	3.637834759
SRR2148918	Brain	3.658457606
CNR0262781	Brain	3.661991359
ERR1104681	Brain	3.685777149
SRR9126574	Brain	3.705918313
ERR1464207	Brain	3.732458833
ERR1815482	Brain	3.773130765
